[2023-02-07T18:25:11.527] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-02-07T18:25:13.940] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-07T18:25:22.198] [WARN] warnArchive - Estado: 404, Ruta consultada: /login, Metodo GET
[2023-02-07T18:25:22.571] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-07T18:25:25.407] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-02-07T18:25:25.884] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-07T18:25:27.711] [WARN] warnArchive - Estado: 404, Ruta consultada: /login, Metodo GET
[2023-02-07T18:25:28.201] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-07T18:32:28.794] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-02-07T18:32:30.145] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-07T18:35:59.093] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-02-07T18:35:59.584] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-07T18:37:15.527] [WARN] warnArchive - Estado: 404, Ruta consultada: /login, Metodo GET
[2023-02-07T18:37:16.022] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-07T18:37:23.396] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
[2023-02-07T18:37:23.893] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-07T18:37:25.986] [WARN] warnArchive - Estado: 404, Ruta consultada: /login, Metodo GET
[2023-02-07T18:37:26.492] [WARN] warnArchive - Estado: 404, Ruta consultada: /favicon.ico, Metodo GET
[2023-02-07T18:37:29.025] [WARN] warnArchive - Estado: 404, Ruta consultada: /, Metodo GET
